ID,sendTo,sentBy
483,R0,S0
483,R1,S0
483,R3,S0
483,R4,S0
485,R3,S0
485,R5,S0
486,R2,S0
486,R4,S0
486,R5,S0
487,R3,S0
488,R0,S0
488,R1,S0
488,R3,S0
488,R5,S0
490,R1,S0
495,R1,S0
495,R3,S0
495,R4,S0
498,R0,S0
498,R4,S0
290,S2,R1
325,S5,R1
489,S2,R1
4,R2,S1
4,R5,S1
6,R2,S1
6,R3,S1
6,R5,S1
7,R1,S1
7,R2,S1
10,R0,S1
10,R2,S1
10,R4,S1
16,R4,S1
16,R5,S1
17,R0,S1
17,R1,S1
17,R2,S1
17,R3,S1
18,R1,S1
18,R5,S1
19,R2,S1
19,R3,S1
23,R1,S1
23,R4,S1
23,R5,S1
27,R0,S1
27,R1,S1
27,R2,S1
27,R3,S1
29,R0,S1
29,R1,S1
30,R2,S1
30,R4,S1
36,R1,S1
36,R2,S1
37,R2,S1
37,R5,S1
38,R1,S1
38,R2,S1
38,R5,S1
44,R0,S1
44,R1,S1
45,R4,S1
45,R5,S1
47,R0,S1
47,R4,S1
47,R5,S1
51,R0,S1
51,R2,S1
55,R1,S1
55,R4,S1
55,R5,S1
58,R1,S1
58,R3,S1
58,R5,S1
60,R1,S1
60,R4,S1
66,R1,S1
66,R3,S1
66,R4,S1
66,R5,S1
67,R2,S1
67,R5,S1
68,R3,S1
68,R4,S1
68,R5,S1
69,R0,S1
69,R3,S1
71,R1,S1
71,R2,S1
71,R4,S1
77,R1,S1
77,R2,S1
78,R0,S1
78,R4,S1
80,R3,S1
80,R5,S1
82,R1,S1
82,R2,S1
84,R2,S1
84,R5,S1
85,R0,S1
85,R1,S1
85,R5,S1
89,R0,S1
89,R4,S1
89,R5,S1
92,R1,S1
92,R2,S1
92,R3,S1
93,R1,S1
93,R2,S1
93,R3,S1
93,R5,S1
94,R0,S1
94,R2,S1
94,R3,S1
94,R4,S1
97,R0,S1
97,R1,S1
97,R3,S1
97,R4,S1
102,R1,S1
102,R2,S1
102,R3,S1
106,R2,S1
106,R3,S1
106,R4,S1
106,R5,S1
113,R0,S1
113,R1,S1
113,R2,S1
113,R4,S1
114,R0,S1
114,R1,S1
117,R2,S1
117,R3,S1
118,R0,S1
118,R4,S1
120,R0,S1
120,R2,S1
120,R5,S1
124,R0,S1
124,R2,S1
125,R0,S1
125,R5,S1
129,R1,S1
129,R3,S1
129,R4,S1
130,R0,S1
130,R1,S1
133,R1,S1
133,R5,S1
138,R0,S1
138,R1,S1
138,R3,S1
151,R1,S1
151,R3,S1
151,R5,S1
153,R1,S1
153,R4,S1
153,R5,S1
154,R2,S1
154,R3,S1
159,R1,S1
159,R4,S1
159,R5,S1
161,R1,S1
161,R3,S1
163,R1,S1
163,R2,S1
164,R0,S1
164,R3,S1
165,R0,S1
165,R1,S1
165,R3,S1
166,R1,S1
169,R2,S1
169,R3,S1
169,R5,S1
170,R0,S1
170,R1,S1
170,R2,S1
171,R0,S1
171,R1,S1
172,R1,S1
172,R2,S1
172,R3,S1
172,R4,S1
180,R1,S1
180,R2,S1
180,R3,S1
180,R4,S1
182,R2,S1
182,R4,S1
184,R0,S1
184,R2,S1
184,R4,S1
186,R2,S1
186,R3,S1
186,R5,S1
188,R1,S1
188,R4,S1
191,R3,S1
191,R4,S1
193,R1,S1
193,R5,S1
195,R4,S1
196,R4,S1
196,R5,S1
198,R2,S1
198,R3,S1
200,R3,S1
204,R0,S1
204,R3,S1
204,R5,S1
211,R4,S1
214,R3,S1
215,R5,S1
220,R2,S1
220,R4,S1
220,R5,S1
223,R2,S1
223,R3,S1
225,R1,S1
225,R2,S1
225,R5,S1
226,R1,S1
226,R2,S1
226,R3,S1
229,R1,S1
229,R2,S1
230,R0,S1
230,R4,S1
231,R3,S1
231,R5,S1
232,R0,S1
232,R1,S1
232,R3,S1
232,R4,S1
234,R1,S1
235,R1,S1
237,R2,S1
237,R4,S1
237,R5,S1
238,R2,S1
238,R5,S1
241,R3,S1
241,R5,S1
243,R3,S1
243,R4,S1
255,R3,S1
258,R5,S1
260,R3,S1
260,R4,S1
265,R0,S1
265,R3,S1
266,R0,S1
266,R3,S1
270,R0,S1
270,R3,S1
270,R5,S1
272,R0,S1
272,R1,S1
272,R5,S1
273,R0,S1
273,R1,S1
273,R3,S1
275,R1,S1
275,R2,S1
275,R5,S1
276,R0,S1
276,R2,S1
276,R3,S1
277,R1,S1
277,R3,S1
277,R5,S1
278,R0,S1
278,R1,S1
278,R2,S1
281,R1,S1
281,R3,S1
281,R5,S1
282,R2,S1
282,R3,S1
282,R4,S1
285,R3,S1
285,R4,S1
287,R4,S1
287,R5,S1
289,R2,S1
289,R5,S1
296,R1,S1
296,R5,S1
297,R1,S1
297,R4,S1
303,R2,S1
303,R5,S1
305,R0,S1
305,R2,S1
305,R3,S1
307,R0,S1
307,R2,S1
308,R2,S1
308,R4,S1
308,R5,S1
309,R0,S1
310,R2,S1
310,R5,S1
312,R5,S1
314,R0,S1
314,R2,S1
314,R3,S1
322,R0,S1
322,R4,S1
323,R1,S1
324,R0,S1
324,R2,S1
333,R3,S1
333,R4,S1
336,R0,S1
336,R2,S1
336,R5,S1
339,R2,S1
340,R0,S1
340,R1,S1
340,R3,S1
340,R4,S1
342,R1,S1
342,R2,S1
354,R1,S1
354,R4,S1
354,R5,S1
355,R1,S1
355,R4,S1
355,R5,S1
356,R0,S1
356,R4,S1
357,R4,S1
357,R5,S1
360,R3,S1
362,R0,S1
362,R2,S1
362,R4,S1
369,R3,S1
369,R4,S1
369,R5,S1
370,R2,S1
370,R4,S1
378,R0,S1
378,R2,S1
378,R4,S1
386,R2,S1
386,R4,S1
386,R5,S1
387,R0,S1
387,R4,S1
389,R2,S1
389,R3,S1
396,R1,S1
396,R5,S1
399,R1,S1
399,R2,S1
399,R4,S1
400,R0,S1
400,R2,S1
400,R4,S1
